['INFO ]2023-09-23 12:17:01,218(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-Sending the Delete Request for Deleting program by program id
['INFO ]2023-09-23 12:17:06,445(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-Sending the Delete Request for Deleting program by invalid program id
['INFO ]2023-09-23 12:17:11,704(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-Sending the Delete Request for Deleting program by invalid program id
['INFO ]2023-09-23 12:17:16,885(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-******** Program Module Ends********
['INFO ]2023-09-23 12:17:16,981(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-******** Program Batch Module Starts********
['INFO ]2023-09-23 12:17:17,044(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-******** Program Batch Module Starts********
['INFO ]2023-09-23 12:17:17,096(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-******** Program Batch Module Starts********
['INFO ]2023-09-23 12:17:22,346(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-Get All Batches requested
['INFO ]2023-09-23 12:17:27,575(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-Get 1 Batch requested
['INFO ]2023-09-23 12:17:32,805(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-Get Batch with Invalid ID requested
['INFO ]2023-09-23 12:17:38,044(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-Get Batch with Invalid Batchname requested
['INFO ]2023-09-23 12:17:43,283(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-Get Batch by program ID requested
['INFO ]2023-09-23 12:17:48,499(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-Get Batch by Invalid programID requested
['INFO ]2023-09-23 12:17:53,736(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-Updating Batch using BatchId
['INFO ]2023-09-23 12:17:58,979(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-Updating Batch using Invalid BatchId
['INFO ]2023-09-23 12:18:04,199(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-Updating Batch using BatchId and Missing field
['INFO ]2023-09-23 12:18:09,395(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-Delete using Batch ID
['INFO ]2023-09-23 12:18:14,655(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-Delete using Batch ID
['INFO ]2023-09-23 12:18:14,664(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-******** Program Batch Module Ends********
['INFO ]2023-09-23 12:18:14,721(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-******** User Module Starts********
['INFO ]2023-09-23 12:18:14,752(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-******** User Module Starts********
['INFO ]2023-09-23 12:18:14,767(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-******** User Module Starts********
['INFO ]2023-09-23 12:18:19,984(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-All Users Data
['INFO ]2023-09-23 12:18:51,613(yyyy-MM-ddHH:mm:ss.SSS][main]api.utilities.LoggerLoad1)-******** User Module Ends********
